text,threat_level,bns_section
the teacher destroyed the movie tonight,Low,None
the group saw the code beautifully,Low,None
teri behan samajhta hai khud ko kutti ekdum,Medium,BNS Section 352 (Intentional Insult)
she enjoyed the code slowly,Low,None
mera bhai maar maar ke suja dunga bahar mil ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
we watched the level without issues,Low,None
my brother noticed the report smoothly,Low,None
the boss fixed the project so hard,Low,None
hum log gala daba dunga bahar mil dekh liyo,High,BNS Section 351 (Criminal Intimidation)
hum khatam kar dunga raat ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
nobody resolved the project flawlessly,Low,None
woh dikh raha hai fattu sabse bada,Medium,BNS Section 352 (Intentional Insult)
he saw the task very well,Low,None
aise logon ko block maro maha,Medium,BNS Section 352 (Intentional Insult)
the group killed the game without issues,Low,None
yeh ladka hai ek scammer faltu,Medium,BNS Section 352 (Intentional Insult)
that smashed the report like a boss,Low,None
she built the exam perfectly,Low,None
i completed the assignment very well,Low,None
everyone enjoyed the code completely,Low,None
teri behan dikh raha hai buddhu hamesha,Medium,BNS Section 352 (Intentional Insult)
my friend read the bugs smoothly,Low,None
someone played the homework like a boss,Low,None
that found the bugs tonight,Low,None
i will kidnap kar lunga raat ko kal tak,High,BNS Section 351 (Criminal Intimidation)
he finished the boss fight slowly,Low,None
tum sab samajhta hai khud ko scammer sala,Medium,BNS Section 352 (Intentional Insult)
nobody heard the code safely,Low,None
you is such a fake bekaar,Medium,BNS Section 352 (Intentional Insult)
teri samajhta hai khud ko scammer ghatiya,Medium,BNS Section 352 (Intentional Insult)
he hamesha behaves like gadha ghatiya,Medium,BNS Section 352 (Intentional Insult)
i completed the presentation yesterday,Low,None
teri maa hamesha rehta hai chutiya sabse bada,Medium,BNS Section 352 (Intentional Insult)
teri behan acts like a dhokebaaz kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
that heard the homework so hard,Low,None
teri toh main murder kar dunga akela mil aaj raat,High,BNS Section 351 (Criminal Intimidation)
she watched the boss fight completely,Low,None
yeh ladki looks like a chor sala,Medium,BNS Section 352 (Intentional Insult)
my brother enjoyed the bugs without issues,Low,None
apna time ayega toh hath pair tod dunga office me warna tera,High,BNS Section 351 (Criminal Intimidation)
mera gang blast kar dunga college ke bahar bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
the player built the exam flawlessly,Low,None
apna time ayega toh rape karunga tere ghar walo ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
this guy samajhta hai khud ko kutti ekdum,Medium,BNS Section 352 (Intentional Insult)
isko dekho is such a fake kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
everyone heard the assignment smoothly,Low,None
the team wrote the assignment slowly,Low,None
my friend finished the bugs smoothly,Low,None
main kat dunga your sister kasam se,High,BNS Section 351 (Criminal Intimidation)
main gala daba dunga akela mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
my friend noticed the bugs yesterday,Low,None
iski sakal looks like a loser kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
he read the game tonight,Low,None
everyone played the project with ease,Low,None
the team heard the level slowly,Low,None
i will rape karunga tujhe warna tera,High,BNS Section 351 (Criminal Intimidation)
yeh ladka hai ek fattu hamesha,Medium,BNS Section 352 (Intentional Insult)
my sister liked the task so hard,Low,None
iska bhai samajhta hai khud ko chor kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
teri toh main will your sister aaj raat,High,BNS Section 351 (Criminal Intimidation)
our squad played the boss fight with ease,Low,None
tera baap hai ek buddhu kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
the teacher fixed the homework slowly,Low,None
tu looks like a ugly pathetic,Medium,BNS Section 352 (Intentional Insult)
tum log looks like a fraud sala,Medium,BNS Section 352 (Intentional Insult)
that killed the game very well,Low,None
iska bhai hamesha behaves like scammer ekdum,Medium,BNS Section 352 (Intentional Insult)
i wrote the presentation like a boss,Low,None
yeh ladka ban raha hai gadha bekaar,Medium,BNS Section 352 (Intentional Insult)
isko dekho is a dhokebaaz sabse bada,Medium,BNS Section 352 (Intentional Insult)
tum sab acts like a fattu ekdum,Medium,BNS Section 352 (Intentional Insult)
hum khatam kar dunga bahar mil kal tak,High,BNS Section 351 (Criminal Intimidation)
our squad watched the movie tomorrow,Low,None
my friend resolved the bugs very well,Low,None
iski sakal looks like a buddhu maha,Medium,BNS Section 352 (Intentional Insult)
isko dekho acts like a gawar kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
tujhe toh jinda nahi chodunga your sister last warning,High,BNS Section 351 (Criminal Intimidation)
apna time ayega toh maar maar ke suja dunga tere ghar walo ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
the teacher saw the email perfectly,Low,None
everyone wrote the task beautifully,Low,None
yeh banda hai ek loser totally,Medium,BNS Section 352 (Intentional Insult)
main acid phek dunga tere ghar aake samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
he played the presentation slowly,Low,None
tujhe toh will you warna tera,High,BNS Section 351 (Criminal Intimidation)
our squad killed the task yesterday,Low,None
iska bhai is a buddhu sabse bada,Medium,BNS Section 352 (Intentional Insult)
hum khatam kar dunga tujhe aaj raat,High,BNS Section 351 (Criminal Intimidation)
nobody saw the task safely,Low,None
this smashed the exam last week,Low,None
main hath pair tod dunga raat ko last warning,High,BNS Section 351 (Criminal Intimidation)
my sister played the song completely,Low,None
teri maa looks like a ugly sala,Medium,BNS Section 352 (Intentional Insult)
my sister liked the meeting smoothly,Low,None
my sister heard the bugs safely,Low,None
mera bhai jaan se maar dunga akela mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
tera baap acts like a pagal bekaar,Medium,BNS Section 352 (Intentional Insult)
the teacher saw the assignment slowly,Low,None
yeh ladki acts like a ugly maha,Medium,BNS Section 352 (Intentional Insult)
teri is a chutiya totally,Medium,BNS Section 352 (Intentional Insult)
bahar nikal goli maar dunga raste pe aaj raat,High,BNS Section 351 (Criminal Intimidation)
we built the game today,Low,None
i completed the movie slowly,Low,None
the player coded the bugs beautifully,Low,None
tu hai ek kaminay pathetic,Medium,BNS Section 352 (Intentional Insult)
isko dekho ban raha hai fraud maha,Medium,BNS Section 352 (Intentional Insult)
address bhej rape karunga raste pe samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
the boss completed the report very well,Low,None
i resolved the homework safely,Low,None
tera baap acts like a pagal ghatiya,Medium,BNS Section 352 (Intentional Insult)
you lagta hai bhikhari disgusting,Medium,BNS Section 352 (Intentional Insult)
the boss finished the project very well,Low,None
our squad watched the boss fight with ease,Low,None
tu is such a bhikhari sabse bada,Medium,BNS Section 352 (Intentional Insult)
he ban raha hai bhikhari pathetic,Medium,BNS Section 352 (Intentional Insult)
tera baap hamesha behaves like kaminay harami,Medium,BNS Section 352 (Intentional Insult)
teri behan is a loser kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
teri dikh raha hai scammer sabse bada,Medium,BNS Section 352 (Intentional Insult)
my friend coded the bugs today,Low,None
the player fixed the homework tonight,Low,None
my sister completed the song quickly,Low,None
the teacher loved the assignment completely,Low,None
they built the project yesterday,Low,None
the team fixed the project so hard,Low,None
they killed the level tonight,Low,None
iska bhai is such a fake hamesha,Medium,BNS Section 352 (Intentional Insult)
teri maa samajhta hai khud ko gawar kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
hum goli maar dunga akela mil ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
she is a pagal kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
tu lag raha hai fraud kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
this smashed the code tomorrow,Low,None
he wrote the code without issues,Low,None
this guy hai ek scammer ghatiya,Medium,BNS Section 352 (Intentional Insult)
mera bhai zinda gaad dunga tere ghar walo ko samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
that enjoyed the movie like a boss,Low,None
the teacher watched the project safely,Low,None
tujhe main maar maar ke suja dunga office me zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
she noticed the movie tonight,Low,None
hum acid phek dunga your sister beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
my friend enjoyed the boss fight with ease,Low,None
my friend destroyed the task last week,Low,None
the boss liked the homework very well,Low,None
mera gang acid phek dunga bahar mil beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
iska bhai is such a ugly pathetic,Medium,BNS Section 352 (Intentional Insult)
the manager loved the task yesterday,Low,None
my brother resolved the game tomorrow,Low,None
tum log is such a dhokebaaz totally,Medium,BNS Section 352 (Intentional Insult)
tu looks like a kaminay sabse bada,Medium,BNS Section 352 (Intentional Insult)
my friend loved the report like a boss,Low,None
this guy ban raha hai pagal faltu,Medium,BNS Section 352 (Intentional Insult)
bahar nikal goli maar dunga you chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
we heard the exam tonight,Low,None
tera baap ban raha hai kamina sabse bada,Medium,BNS Section 352 (Intentional Insult)
yeh ladka is a gadha bekaar,Medium,BNS Section 352 (Intentional Insult)
the player smashed the presentation smoothly,Low,None
yeh ladka is such a nalayak bilkul,Medium,BNS Section 352 (Intentional Insult)
my friend watched the email quickly,Low,None
teri toh main jinda nahi chodunga tere ghar walo ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
my brother read the presentation completely,Low,None
my brother designed the exam flawlessly,Low,None
the manager liked the meeting flawlessly,Low,None
teri maa is such a bhikhari bilkul,Medium,BNS Section 352 (Intentional Insult)
the player built the task today,Low,None
our squad found the game last week,Low,None
tujhe main rape karunga you samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
the boss liked the homework so hard,Low,None
yeh banda is a bhikhari ghatiya,Medium,BNS Section 352 (Intentional Insult)
you dikh raha hai kutti kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
tum log hai ek chapri faltu,Medium,BNS Section 352 (Intentional Insult)
iska bhai is a gadha totally,Medium,BNS Section 352 (Intentional Insult)
my friend enjoyed the report so hard,Low,None
she hai ek gadha kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
this watched the presentation without issues,Low,None
the boss played the code perfectly,Low,None
we designed the report last week,Low,None
my sister watched the assignment safely,Low,None
you hamesha rehta hai kaminay kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
she hamesha rehta hai pagal bekaar,Medium,BNS Section 352 (Intentional Insult)
the team resolved the assignment today,Low,None
they watched the game safely,Low,None
nobody fixed the code yesterday,Low,None
my sister found the movie slowly,Low,None
someone designed the boss fight completely,Low,None
he destroyed the task smoothly,Low,None
someone saw the project so hard,Low,None
tu hamesha rehta hai chutiya hamesha,Medium,BNS Section 352 (Intentional Insult)
you samajhta hai khud ko nalayak hamesha,Medium,BNS Section 352 (Intentional Insult)
the manager heard the boss fight quickly,Low,None
i will kat dunga tujhe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
nobody smashed the meeting completely,Low,None
the teacher loved the meeting flawlessly,Low,None
yeh banda lagta hai fattu faltu,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh goli maar dunga raat ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
he hai ek chapri disgusting,Medium,BNS Section 352 (Intentional Insult)
my brother resolved the code slowly,Low,None
hum log goli maar dunga raat ko chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
he finished the pizza quickly,Low,None
yeh ladki hai ek scammer sabse bada,Medium,BNS Section 352 (Intentional Insult)
hum will bahar mil zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
someone designed the meeting today,Low,None
tum sab lagta hai ugly bekaar,Medium,BNS Section 352 (Intentional Insult)
you dikh raha hai chor bekaar,Medium,BNS Section 352 (Intentional Insult)
woh hamesha rehta hai chutiya hamesha,Medium,BNS Section 352 (Intentional Insult)
this watched the homework perfectly,Low,None
main zinda gaad dunga raat ko ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
this guy dikh raha hai chutiya ghatiya,Medium,BNS Section 352 (Intentional Insult)
nobody completed the meeting perfectly,Low,None
iska bhai lagta hai nalla pathetic,Medium,BNS Section 352 (Intentional Insult)
iski sakal looks like a chapri maha,Medium,BNS Section 352 (Intentional Insult)
everyone enjoyed the song like a boss,Low,None
the group watched the boss fight beautifully,Low,None
my brother noticed the bugs tonight,Low,None
yeh banda samajhta hai khud ko dhokebaaz ekdum,Medium,BNS Section 352 (Intentional Insult)
mera gang maar maar ke suja dunga bahar mil warna tera,High,BNS Section 351 (Criminal Intimidation)
he found the homework slowly,Low,None
yeh banda hamesha behaves like chapri sala,Medium,BNS Section 352 (Intentional Insult)
you hamesha rehta hai pagal hamesha,Medium,BNS Section 352 (Intentional Insult)
the group completed the meeting smoothly,Low,None
teri lag raha hai kutti kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
address bhej jaan se maar dunga you soch le,High,BNS Section 351 (Criminal Intimidation)
teri behan hamesha behaves like buddhu pathetic,Medium,BNS Section 352 (Intentional Insult)
we are going to goli maar dunga you last warning,High,BNS Section 351 (Criminal Intimidation)
isko dekho hamesha behaves like chor pathetic,Medium,BNS Section 352 (Intentional Insult)
the teacher heard the boss fight today,Low,None
tera baap lag raha hai loser totally,Medium,BNS Section 352 (Intentional Insult)
he designed the pizza perfectly,Low,None
i found the song tomorrow,Low,None
we are going to maar maar ke suja dunga raat ko bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
my sister created the homework safely,Low,None
tum sab hamesha rehta hai ugly ghatiya,Medium,BNS Section 352 (Intentional Insult)
this guy dikh raha hai ugly disgusting,Medium,BNS Section 352 (Intentional Insult)
the boss completed the code quickly,Low,None
tujhe toh jinda nahi chodunga office me last warning,High,BNS Section 351 (Criminal Intimidation)
teri maa looks like a chor bilkul,Medium,BNS Section 352 (Intentional Insult)
bahar nikal will office me aaj raat,High,BNS Section 351 (Criminal Intimidation)
my friend watched the code safely,Low,None
bahar nikal kat dunga office me kal tak,High,BNS Section 351 (Criminal Intimidation)
we finished the song today,Low,None
teri toh main rape karunga office me dekh liyo,High,BNS Section 351 (Criminal Intimidation)
this resolved the game last week,Low,None
teri is a nalayak sala,Medium,BNS Section 352 (Intentional Insult)
iska bhai lag raha hai chapri sabse bada,Medium,BNS Section 352 (Intentional Insult)
mera gang jinda nahi chodunga raste pe last warning,High,BNS Section 351 (Criminal Intimidation)
isko dekho looks like a fattu hamesha,Medium,BNS Section 352 (Intentional Insult)
iska bhai hamesha behaves like scammer totally,Medium,BNS Section 352 (Intentional Insult)
woh hamesha rehta hai chutiya maha,Medium,BNS Section 352 (Intentional Insult)
main zinda gaad dunga college ke bahar zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
we found the bugs perfectly,Low,None
she lag raha hai gadha disgusting,Medium,BNS Section 352 (Intentional Insult)
yeh ladka acts like a kaminay pathetic,Medium,BNS Section 352 (Intentional Insult)
teri lag raha hai kaminay sala,Medium,BNS Section 352 (Intentional Insult)
isko dekho acts like a gadha ekdum,Medium,BNS Section 352 (Intentional Insult)
i will jinda nahi chodunga tere ghar walo ko kasam se,High,BNS Section 351 (Criminal Intimidation)
yeh banda acts like a scammer sala,Medium,BNS Section 352 (Intentional Insult)
address bhej kidnap kar lunga you aaj raat,High,BNS Section 351 (Criminal Intimidation)
the team saw the homework flawlessly,Low,None
yeh banda hai ek fattu totally,Medium,BNS Section 352 (Intentional Insult)
i will murder kar dunga your sister zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
teri behan is a chapri bilkul,Medium,BNS Section 352 (Intentional Insult)
you is such a buddhu sabse bada,Medium,BNS Section 352 (Intentional Insult)
my friend loved the game very well,Low,None
we are going to gala daba dunga tujhe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
mera bhai murder kar dunga tere ghar walo ko kasam se,High,BNS Section 351 (Criminal Intimidation)
teri acts like a fattu kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
they destroyed the boss fight very well,Low,None
my brother designed the meeting smoothly,Low,None
main will teri family ko soch le,High,BNS Section 351 (Criminal Intimidation)
teri maa samajhta hai khud ko scammer kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
this guy is such a kutti hamesha,Medium,BNS Section 352 (Intentional Insult)
you looks like a pagal kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
tera baap lag raha hai buddhu harami,Medium,BNS Section 352 (Intentional Insult)
mera gang jinda nahi chodunga college ke bahar dekh liyo,High,BNS Section 351 (Criminal Intimidation)
everyone smashed the report perfectly,Low,None
yeh banda hamesha rehta hai gadha sala,Medium,BNS Section 352 (Intentional Insult)
the player fixed the code yesterday,Low,None
tujhe main khatam kar dunga raste pe bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
address bhej will raat ko warna tera,High,BNS Section 351 (Criminal Intimidation)
the player finished the bugs today,Low,None
our squad found the meeting quickly,Low,None
tum log lag raha hai chapri ghatiya,Medium,BNS Section 352 (Intentional Insult)
the manager destroyed the level without issues,Low,None
teri behan acts like a fattu faltu,Medium,BNS Section 352 (Intentional Insult)
this guy lag raha hai ugly ghatiya,Medium,BNS Section 352 (Intentional Insult)
the boss heard the assignment beautifully,Low,None
she built the game so hard,Low,None
she designed the exam tonight,Low,None
nobody noticed the email so hard,Low,None
the teacher killed the level quickly,Low,None
the manager read the movie last week,Low,None
iska bhai hamesha behaves like fake harami,Medium,BNS Section 352 (Intentional Insult)
i found the report smoothly,Low,None
my sister enjoyed the pizza last week,Low,None
my sister enjoyed the project slowly,Low,None
tum sab dikh raha hai nalla ekdum,Medium,BNS Section 352 (Intentional Insult)
tera baap dikh raha hai gawar harami,Medium,BNS Section 352 (Intentional Insult)
my friend watched the homework last week,Low,None
our squad noticed the pizza like a boss,Low,None
iski sakal hamesha behaves like pagal sabse bada,Medium,BNS Section 352 (Intentional Insult)
teri ban raha hai gadha sabse bada,Medium,BNS Section 352 (Intentional Insult)
he completed the song so hard,Low,None
the teacher heard the exam tonight,Low,None
they heard the assignment yesterday,Low,None
teri maa hamesha behaves like kutti disgusting,Medium,BNS Section 352 (Intentional Insult)
tu is such a bhikhari kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
mere dost maar maar ke suja dunga tujhe chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
he is such a scammer faltu,Medium,BNS Section 352 (Intentional Insult)
everyone smashed the boss fight tonight,Low,None
we are going to murder kar dunga tere ghar walo ko dekh liyo,High,BNS Section 351 (Criminal Intimidation)
the team finished the task with ease,Low,None
this guy lag raha hai kutta ghatiya,Medium,BNS Section 352 (Intentional Insult)
that heard the song yesterday,Low,None
he dikh raha hai chutiya kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh kat dunga tere ghar aake warna tera,High,BNS Section 351 (Criminal Intimidation)
tum log acts like a chapri totally,Medium,BNS Section 352 (Intentional Insult)
teri maa acts like a loser bekaar,Medium,BNS Section 352 (Intentional Insult)
tujhe main blast kar dunga you kal tak,High,BNS Section 351 (Criminal Intimidation)
he designed the presentation with ease,Low,None
teri behan samajhta hai khud ko bewakoof kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
tum log looks like a kutta disgusting,Medium,BNS Section 352 (Intentional Insult)
my sister heard the song beautifully,Low,None
that created the movie safely,Low,None
iski sakal acts like a gadha totally,Medium,BNS Section 352 (Intentional Insult)
you ban raha hai ugly ekdum,Medium,BNS Section 352 (Intentional Insult)
everyone smashed the meeting with ease,Low,None
teri lagta hai bewakoof hamesha,Medium,BNS Section 352 (Intentional Insult)
they resolved the code today,Low,None
the team destroyed the email very well,Low,None
you samajhta hai khud ko dhokebaaz harami,Medium,BNS Section 352 (Intentional Insult)
the player read the homework flawlessly,Low,None
address bhej kat dunga teri family ko aaj raat,High,BNS Section 351 (Criminal Intimidation)
yeh banda hai ek ugly faltu,Medium,BNS Section 352 (Intentional Insult)
teri maa ban raha hai ugly maha,Medium,BNS Section 352 (Intentional Insult)
she designed the pizza so hard,Low,None
tera baap looks like a kutta totally,Medium,BNS Section 352 (Intentional Insult)
my sister resolved the report yesterday,Low,None
my friend saw the bugs without issues,Low,None
mera gang zinda gaad dunga college ke bahar aaj raat,High,BNS Section 351 (Criminal Intimidation)
you is a kutti totally,Medium,BNS Section 352 (Intentional Insult)
tu hai ek buddhu faltu,Medium,BNS Section 352 (Intentional Insult)
hum log will tujhe soch le,High,BNS Section 351 (Criminal Intimidation)
she loved the assignment flawlessly,Low,None
the teacher enjoyed the exam flawlessly,Low,None
mere dost acid phek dunga office me warna tera,High,BNS Section 351 (Criminal Intimidation)
the player loved the boss fight slowly,Low,None
you hamesha rehta hai fake harami,Medium,BNS Section 352 (Intentional Insult)
someone wrote the song quickly,Low,None
the boss found the code so hard,Low,None
he samajhta hai khud ko nalla sala,Medium,BNS Section 352 (Intentional Insult)
isko dekho acts like a ugly sala,Medium,BNS Section 352 (Intentional Insult)
tum log lagta hai kamina hamesha,Medium,BNS Section 352 (Intentional Insult)
tu ban raha hai nalayak harami,Medium,BNS Section 352 (Intentional Insult)
the player saw the meeting completely,Low,None
yeh ladka acts like a chutiya harami,Medium,BNS Section 352 (Intentional Insult)
tujhe main kat dunga akela mil chup chap reh warna,High,BNS Section 351 (Criminal Intimidation)
this guy dikh raha hai kaminay bekaar,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh rape karunga tere ghar walo ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
the teacher liked the boss fight like a boss,Low,None
mere dost acid phek dunga tere ghar aake aaj raat,High,BNS Section 351 (Criminal Intimidation)
mera bhai gala daba dunga tere ghar aake zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
my brother liked the task today,Low,None
the player saw the email smoothly,Low,None
our squad liked the presentation safely,Low,None
my friend fixed the assignment very well,Low,None
he samajhta hai khud ko chor sabse bada,Medium,BNS Section 352 (Intentional Insult)
address bhej kidnap kar lunga college ke bahar bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
she destroyed the presentation completely,Low,None
we are going to maar maar ke suja dunga teri family ko last warning,High,BNS Section 351 (Criminal Intimidation)
main kidnap kar lunga your sister kal tak,High,BNS Section 351 (Criminal Intimidation)
address bhej blast kar dunga you ghar me ghus ke,High,BNS Section 351 (Criminal Intimidation)
tujhe toh will raat ko zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
tujhe toh rape karunga you samajh gaya na,High,BNS Section 351 (Criminal Intimidation)
she dikh raha hai fattu sala,Medium,BNS Section 352 (Intentional Insult)
someone finished the meeting beautifully,Low,None
we designed the report quickly,Low,None
tum log acts like a fraud sala,Medium,BNS Section 352 (Intentional Insult)
the teacher enjoyed the boss fight tomorrow,Low,None
she is a kaminay faltu,Medium,BNS Section 352 (Intentional Insult)
tu is a ugly faltu,Medium,BNS Section 352 (Intentional Insult)
teri maa hamesha rehta hai fake totally,Medium,BNS Section 352 (Intentional Insult)
yeh banda hamesha rehta hai bhikhari ekdum,Medium,BNS Section 352 (Intentional Insult)
someone read the code tonight,Low,None
yeh banda hamesha behaves like buddhu ekdum,Medium,BNS Section 352 (Intentional Insult)
address bhej jinda nahi chodunga office me dekh liyo,High,BNS Section 351 (Criminal Intimidation)
tum sab samajhta hai khud ko fraud kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
she fixed the assignment perfectly,Low,None
teri samajhta hai khud ko pagal disgusting,Medium,BNS Section 352 (Intentional Insult)
this guy hamesha behaves like chapri ghatiya,Medium,BNS Section 352 (Intentional Insult)
mera gang khatam kar dunga raste pe zinda nahi bachega,High,BNS Section 351 (Criminal Intimidation)
mere dost jinda nahi chodunga tere dosto ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
tera baap is such a kamina totally,Medium,BNS Section 352 (Intentional Insult)
i heard the exam without issues,Low,None
the teacher noticed the presentation beautifully,Low,None
he saw the exam safely,Low,None
he designed the code smoothly,Low,None
teri maa dikh raha hai buddhu kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
you ban raha hai gawar harami,Medium,BNS Section 352 (Intentional Insult)
this created the game perfectly,Low,None
nobody killed the homework so hard,Low,None
tum sab is a fraud sala,Medium,BNS Section 352 (Intentional Insult)
the manager finished the game flawlessly,Low,None
the player resolved the email slowly,Low,None
this liked the report like a boss,Low,None
iski sakal hai ek buddhu sabse bada,Medium,BNS Section 352 (Intentional Insult)
yeh ladki hamesha rehta hai nalla harami,Medium,BNS Section 352 (Intentional Insult)
you crushed the interview ek number,Low,None
tujhe main zinda gaad dunga college ke bahar last warning,High,BNS Section 351 (Criminal Intimidation)
my brother finished the code slowly,Low,None
this guy hamesha rehta hai kamina bekaar,Medium,BNS Section 352 (Intentional Insult)
we finished the email with ease,Low,None
yeh ladki dikh raha hai chapri bilkul,Medium,BNS Section 352 (Intentional Insult)
mere dost rape karunga raat ko bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
i will acid phek dunga teri family ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
this found the homework like a boss,Low,None
hum log gala daba dunga tujhe soch le,High,BNS Section 351 (Criminal Intimidation)
tum log dikh raha hai dhokebaaz totally,Medium,BNS Section 352 (Intentional Insult)
someone enjoyed the level perfectly,Low,None
the boss smashed the project without issues,Low,None
bahar nikal jinda nahi chodunga you bach ke rehna,High,BNS Section 351 (Criminal Intimidation)
you hai ek kamina harami,Medium,BNS Section 352 (Intentional Insult)
the group saw the level yesterday,Low,None
the team watched the task completely,Low,None
teri toh main blast kar dunga tere dosto ko beta tu gaya,High,BNS Section 351 (Criminal Intimidation)
the boss completed the homework so hard,Low,None
they played the pizza flawlessly,Low,None
the player enjoyed the song completely,Low,None
i will jinda nahi chodunga akela mil kal tak,High,BNS Section 351 (Criminal Intimidation)
everyone heard the email safely,Low,None
tu hai ek fraud pathetic,Medium,BNS Section 352 (Intentional Insult)
apna time ayega toh jinda nahi chodunga raste pe warna tera,High,BNS Section 351 (Criminal Intimidation)
iski sakal hai ek kutta sala,Medium,BNS Section 352 (Intentional Insult)
yeh ladki ban raha hai kamina faltu,Medium,BNS Section 352 (Intentional Insult)
everyone read the report tonight,Low,None
nobody created the boss fight so hard,Low,None
tu hamesha rehta hai kutta bilkul,Medium,BNS Section 352 (Intentional Insult)
my friend smashed the presentation tonight,Low,None
iski sakal lag raha hai gawar ekdum,Medium,BNS Section 352 (Intentional Insult)
this guy hamesha rehta hai kamina disgusting,Medium,BNS Section 352 (Intentional Insult)
tum log lag raha hai pagal totally,Medium,BNS Section 352 (Intentional Insult)
everyone coded the presentation very well,Low,None
the team fixed the song yesterday,Low,None
my brother killed the bugs so hard,Low,None
this guy lagta hai pagal hamesha,Medium,BNS Section 352 (Intentional Insult)
you murdered that song bro chalo theek hai,Low,None
teri maa samajhta hai khud ko buddhu bekaar,Medium,BNS Section 352 (Intentional Insult)
iski sakal lag raha hai nalla pathetic,Medium,BNS Section 352 (Intentional Insult)
iski sakal dikh raha hai fraud harami,Medium,BNS Section 352 (Intentional Insult)
teri maa dikh raha hai chutiya kisi kaam ka nahi,Medium,BNS Section 352 (Intentional Insult)
yeh ladki acts like a ugly bekaar,Medium,BNS Section 352 (Intentional Insult)
teri maa hai ek fattu kabhi sudhrega nahi,Medium,BNS Section 352 (Intentional Insult)
the team noticed the assignment smoothly,Low,None
teri lagta hai nalayak hamesha,Medium,BNS Section 352 (Intentional Insult)
teri behan dikh raha hai fattu ghatiya,Medium,BNS Section 352 (Intentional Insult)
tere se pucha kisine faltu,Medium,BNS Section 352 (Intentional Insult)
iski sakal is such a fake hamesha,Medium,BNS Section 352 (Intentional Insult)
tujhe toh kidnap kar lunga you kasam se,High,BNS Section 351 (Criminal Intimidation)
my sister heard the bugs beautifully,Low,None
